reportDate,slaName,regionName,supportDesk,groupName,contactType,m-SlaTime,m-SlaStage
06-22-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1981,1
06-22-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1915,1
06-28-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,616,1
06-17-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2468,1
06-16-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,33728,0
06-16-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,666,1
06-16-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1516,1
06-16-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1982,1
06-15-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2324,1
06-02-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1725,1
06-12-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,11228,1
06-22-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,331,1
06-11-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,21758,0
06-11-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,544,1
06-11-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,375,1
06-11-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1889,1
06-02-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,280,1
06-03-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,264,1
06-04-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,649,1
06-02-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,4799,1
06-02-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,562,1
06-01-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,572,1
06-08-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,3328,1
07-08-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,483,1
12-29-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,873,1
04-01-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1132,1
07-15-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1580,1
07-15-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,756,1
07-14-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2284,1
07-14-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,651,1
07-16-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2097,1
07-14-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,860,1
07-12-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,618,1
07-09-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,4754,1
06-23-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,4540,1
07-07-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,9615,1
